study,subject_nr,amount_pair,delay_pair,amount_similarity,delay_similarity,itc_control_choice,itc_amount_social_info,itc_delay_social_info,amount_delay_social_info,itc_social_choice,miss_score,median_miss_score,suggestibility_level,sns_score,sns_level,overall_bnt_score,age,ethnicity,gender,control_social,amount_delay,similarity_judgment,task_social_info,social_info
1,104,48_54,22_27,1,1,0,1,1,S_S,1,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,18_25,7_12,0,1,1,0,0,D_D,1,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,24_30,13_18,1,0,1,0,1,D_S,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,16_21,5_12,1,0,0,0,0,D_D,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,5_12,10_15,0,1,0,0,1,D_S,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,10_15,24_31,0,1,0,0,0,D_D,1,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,16_21,6_12,1,0,0,0,1,D_S,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,17_23,7_12,1,1,0,0,1,D_S,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,12_18,4_8,1,1,0,0,1,D_S,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,7_12,47_54,1,0,1,0,1,D_S,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,19_24,11_17,1,1,0,1,0,S_D,1,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,19_24,11_18,1,0,0,1,1,S_S,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,5_11,10_15,1,1,1,0,0,D_D,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,13_18,30_37,1,0,0,1,0,S_D,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,22_27,41_48,1,1,0,1,1,S_S,1,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,48_55,22_27,0,1,1,0,1,D_S,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,30_36,25_30,1,1,0,1,1,S_S,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,23_30,13_18,1,0,0,1,0,S_D,1,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,25_30,35_42,0,0,0,0,0,D_D,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,7_12,48_54,1,1,1,0,0,D_D,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,22_27,41_47,1,1,0,0,0,D_D,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,16_21,6_13,1,0,1,1,1,S_S,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,7_12,47_53,1,1,1,1,0,S_D,1,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,10_15,23_30,0,1,0,1,1,S_S,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,29_35,25_30,1,1,1,0,1,D_S,1,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,10_15,24_30,0,1,1,0,1,D_S,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,11_18,4_8,1,1,1,1,0,S_D,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,13_18,30_36,1,0,0,0,0,D_D,1,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,23_29,13_18,1,0,0,0,0,D_D,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,4_8,18_25,1,1,0,0,1,D_S,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,19_24,12_18,1,1,0,0,0,D_D,1,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,25_30,35_41,0,1,0,1,0,S_D,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,47_54,22_27,1,1,1,0,0,D_D,1,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,24_31,13_18,1,0,1,1,1,S_S,1,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,47_53,22_27,1,1,0,1,0,S_D,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,4_8,17_23,1,1,1,1,1,S_S,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,42_49,19_24,1,1,0,0,0,D_D,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,4_8,17_24,1,1,0,1,0,S_D,1,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,29_36,25_30,0,1,1,0,0,D_D,1,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,25_30,36_43,0,0,0,1,1,S_S,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,105,29_36,25_30,1,0,1,0,0,D_D,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,24_30,13_18,1,1,0,0,1,D_S,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,10_15,23_30,1,0,0,1,1,S_S,0,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
